"","BORO","freq","orival","region","value"
"1","bronx",5422,2.84320922915574,36005,"2.8-2.99"
"2","kings",14736,2.96558663715033,36047,"2.8-2.99"
"3","new york",24646,2.95020349533158,36061,"2.8-2.99"
"4","queens",14250,2.91351461868739,36081,"2.8-2.99"
"5","richmond",1926,2.90497737556561,36085,"2.8-2.99"
