"","BORO","freq","orival","region","value"
"1","bronx",1368,2.91684434968017,36005,"2.8-2.99"
"2","kings",4274,3.08592057761733,36047,"3.0-3.19"
"3","new york",7555,3.07739307535642,36061,"3.0-3.19"
"4","queens",4355,3.12186379928315,36081,"3.0-3.19"
"5","richmond",834,3.23255813953488,36085,"3.2-3.39"
