"","BORO","freq","orival","region","value"
"1","bronx",1561,0.818563188253802,36005,"0.8-0.99"
"2","kings",4627,0.931173274300664,36047,"0.8-0.99"
"3","new york",8189,0.980248982523342,36061,"0.8-0.99"
"4","queens",4607,0.941934164792476,36081,"0.8-0.99"
"5","richmond",662,0.998491704374057,36085,"0.8-0.99"
