"","BORO","freq","orival","region","value"
"1","bronx",1916,0.955134596211366,36005,"0.8-0.99"
"2","kings",4844,0.903225806451613,36047,"0.8-0.99"
"3","new york",7438,0.85415709692237,36061,"0.8-0.99"
"4","queens",3889,0.800864909390445,36081,"0.8-0.99"
"5","richmond",629,0.811612903225806,36085,"0.8-0.99"
