"","region","freq","BORO","REST","orival","value"
"1","10001",131,"new york",117,1.11965811965812,"1.0-1.19"
"2","10002",121,"new york",90,1.34444444444444,"1.3-1.39"
"3","10003",190,"new york",144,1.31944444444444,"1.3-1.39"
"4","10004",40,"new york",33,1.21212121212121,"1.2-1.29"
"5","10005",28,"new york",16,1.75,"> 1.6"
"6","10006",29,"new york",19,1.52631578947368,"1.5-1.59"
"7","10007",48,"new york",33,1.45454545454545,"1.4-1.49"
"8","10009",98,"new york",85,1.15294117647059,"1.0-1.19"
"9","10010",89,"new york",71,1.25352112676056,"1.2-1.29"
"10","10011",120,"new york",101,1.18811881188119,"1.0-1.19"
"11","10012",137,"new york",109,1.25688073394495,"1.2-1.29"
"12","10013",141,"new york",113,1.24778761061947,"1.2-1.29"
"13","10014",182,"new york",133,1.36842105263158,"1.3-1.39"
"14","10016",96,"new york",88,1.09090909090909,"1.0-1.19"
"15","10017",107,"new york",81,1.32098765432099,"1.3-1.39"
"16","10018",77,"new york",65,1.18461538461538,"1.0-1.19"
"17","10019",202,"new york",178,1.13483146067416,"1.0-1.19"
"18","10020",12,"new york",18,0.666666666666667,"< 1.0"
"19","10021",44,"new york",39,1.12820512820513,"1.0-1.19"
"20","10022",157,"new york",106,1.4811320754717,"1.4-1.49"
"21","10023",75,"new york",60,1.25,"1.2-1.29"
"22","10024",60,"new york",48,1.25,"1.2-1.29"
"23","10025",76,"new york",67,1.13432835820896,"1.0-1.19"
"24","10026",12,"new york",13,0.923076923076923,"< 1.0"
"25","10027",39,"new york",31,1.25806451612903,"1.2-1.29"
"26","10028",61,"new york",42,1.45238095238095,"1.4-1.49"
"27","10029",46,"new york",39,1.17948717948718,"1.0-1.19"
"28","10030",7,"new york",7,1,"< 1.0"
"29","10031",24,"new york",24,1,"< 1.0"
"30","10032",49,"new york",39,1.25641025641026,"1.2-1.29"
"31","10033",36,"new york",36,1,"< 1.0"
"32","10034",35,"new york",23,1.52173913043478,"1.5-1.59"
"33","10035",14,"new york",10,1.4,"1.3-1.39"
"34","10036",205,"new york",172,1.19186046511628,"1.0-1.19"
"35","10037",5,"new york",7,0.714285714285714,"< 1.0"
"36","10038",34,"new york",31,1.09677419354839,"1.0-1.19"
"37","10039",2,"new york",5,0.4,"< 1.0"
"38","10040",13,"new york",12,1.08333333333333,"1.0-1.19"
"39","10044",7,"new york",5,1.4,"1.3-1.39"
"40","10065",54,"new york",45,1.2,"1.0-1.19"
"41","10069",3,"new york",3,1,"< 1.0"
"42","10075",38,"new york",31,1.2258064516129,"1.2-1.29"
"43","10110",1,"new york",1,1,"< 1.0"
"44","10111",4,"new york",4,1,"< 1.0"
"45","10112",4,"new york",4,1,"< 1.0"
"46","10119",1,"new york",3,0.333333333333333,"< 1.0"
"47","10128",64,"new york",45,1.42222222222222,"1.4-1.49"
