"","BORO","freq","orival","region","value"
"1","bronx",2203,1.09820538384845,36005,"1.0-1.19"
"2","kings",6140,1.15696250235538,36047,"1.0-1.19"
"3","new york",10502,1.20809847003336,36061,"1.2-1.29"
"4","queens",5624,1.12165935380933,36081,"1.0-1.19"
"5","richmond",1000,1.31233595800525,36085,"1.3-1.39"
