"","region","freq","BORO","REST","orival","value"
"1","10001",412,"new york",403,1.02233250620347,"1.0-1.19"
"2","10002",358,"new york",357,1.00280112044818,"1.0-1.19"
"3","10003",515,"new york",542,0.950184501845018,"0.8-0.99"
"4","10004",98,"new york",124,0.790322580645161,"0.6-0.79"
"5","10005",51,"new york",49,1.04081632653061,"1.0-1.19"
"6","10006",42,"new york",39,1.07692307692308,"1.0-1.19"
"7","10007",89,"new york",98,0.908163265306122,"0.8-0.99"
"8","10009",230,"new york",243,0.946502057613169,"0.8-0.99"
"9","10010",185,"new york",200,0.925,"0.8-0.99"
"10","10011",338,"new york",389,0.868894601542416,"0.8-0.99"
"11","10012",318,"new york",340,0.935294117647059,"0.8-0.99"
"12","10013",454,"new york",410,1.10731707317073,"1.0-1.19"
"13","10014",358,"new york",350,1.02285714285714,"1.0-1.19"
"14","10016",328,"new york",326,1.00613496932515,"1.0-1.19"
"15","10017",364,"new york",322,1.1304347826087,"1.0-1.19"
"16","10018",249,"new york",244,1.02049180327869,"1.0-1.19"
"17","10019",553,"new york",597,0.926298157453936,"0.8-0.99"
"18","10020",34,"new york",41,0.829268292682927,"0.8-0.99"
"19","10021",148,"new york",126,1.17460317460317,"1.0-1.19"
"20","10022",366,"new york",397,0.92191435768262,"0.8-0.99"
"21","10023",115,"new york",157,0.732484076433121,"0.6-0.79"
"22","10024",168,"new york",158,1.06329113924051,"1.0-1.19"
"23","10025",233,"new york",225,1.03555555555556,"1.0-1.19"
"24","10026",75,"new york",68,1.10294117647059,"1.0-1.19"
"25","10027",134,"new york",134,1,"0.8-0.99"
"26","10028",133,"new york",162,0.820987654320988,"0.8-0.99"
"27","10029",178,"new york",154,1.15584415584416,"1.0-1.19"
"28","10030",29,"new york",31,0.935483870967742,"0.8-0.99"
"29","10031",110,"new york",97,1.1340206185567,"1.0-1.19"
"30","10032",94,"new york",100,0.94,"0.8-0.99"
"31","10033",100,"new york",90,1.11111111111111,"1.0-1.19"
"32","10034",97,"new york",86,1.12790697674419,"1.0-1.19"
"33","10035",54,"new york",57,0.947368421052632,"0.8-0.99"
"34","10036",482,"new york",496,0.971774193548387,"0.8-0.99"
"35","10037",22,"new york",22,1,"0.8-0.99"
"36","10038",184,"new york",164,1.1219512195122,"1.0-1.19"
"37","10039",19,"new york",22,0.863636363636364,"0.8-0.99"
"38","10040",25,"new york",38,0.657894736842105,"0.6-0.79"
"39","10044",3,"new york",6,0.5,"< 0.6"
"40","10065",139,"new york",156,0.891025641025641,"0.8-0.99"
"41","10069",4,"new york",4,1,"0.8-0.99"
"42","10075",89,"new york",86,1.03488372093023,"1.0-1.19"
"43","10103",1,"new york",2,0.5,"< 0.6"
"44","10111",1,"new york",4,0.25,"< 0.6"
"45","10112",9,"new york",17,0.529411764705882,"< 0.6"
"46","10119",10,"new york",16,0.625,"0.6-0.79"
"47","10128",131,"new york",133,0.984962406015038,"0.8-0.99"
"48","10153",1,"new york",1,1,"0.8-0.99"
"49","10154",1,"new york",1,1,"0.8-0.99"
"50","10167",3,"new york",2,1.5,"1.4-1.59"
"51","10168",4,"new york",3,1.33333333333333,"1.2-1.39"
"52","10169",1,"new york",2,0.5,"< 0.6"
"53","10174",2,"new york",3,0.666666666666667,"0.6-0.79"
"54","10271",1,"new york",2,0.5,"< 0.6"
"55","10279",3,"new york",2,1.5,"1.4-1.59"
"56","10280",26,"new york",31,0.838709677419355,"0.8-0.99"
"57","10282",18,"new york",21,0.857142857142857,"0.8-0.99"
"58","10301",57,"richmond",67,0.850746268656716,"0.8-0.99"
"59","10302",42,"richmond",46,0.91304347826087,"0.8-0.99"
"60","10303",16,"richmond",25,0.64,"0.6-0.79"
"61","10304",28,"richmond",32,0.875,"0.8-0.99"
"62","10305",80,"richmond",80,1,"0.8-0.99"
"63","10306",74,"richmond",75,0.986666666666667,"0.8-0.99"
"64","10307",15,"richmond",20,0.75,"0.6-0.79"
"65","10308",33,"richmond",41,0.804878048780488,"0.8-0.99"
"66","10309",43,"richmond",37,1.16216216216216,"1.0-1.19"
"67","10310",56,"richmond",41,1.36585365853659,"1.2-1.39"
"68","10312",57,"richmond",50,1.14,"1.0-1.19"
"69","10314",161,"richmond",148,1.08783783783784,"1.0-1.19"
"70","10451",106,"bronx",131,0.809160305343511,"0.8-0.99"
"71","10452",72,"bronx",76,0.947368421052632,"0.8-0.99"
"72","10453",49,"bronx",71,0.690140845070423,"0.6-0.79"
"73","10454",56,"bronx",65,0.861538461538462,"0.8-0.99"
"74","10455",69,"bronx",79,0.873417721518987,"0.8-0.99"
"75","10456",57,"bronx",70,0.814285714285714,"0.8-0.99"
"76","10457",62,"bronx",82,0.75609756097561,"0.6-0.79"
"77","10458",136,"bronx",146,0.931506849315068,"0.8-0.99"
"78","10459",43,"bronx",58,0.741379310344828,"0.6-0.79"
"79","10460",41,"bronx",56,0.732142857142857,"0.6-0.79"
"80","10461",103,"bronx",138,0.746376811594203,"0.6-0.79"
"81","10462",111,"bronx",121,0.917355371900826,"0.8-0.99"
"82","10463",65,"bronx",92,0.706521739130435,"0.6-0.79"
"83","10464",30,"bronx",33,0.909090909090909,"0.8-0.99"
"84","10465",59,"bronx",68,0.867647058823529,"0.8-0.99"
"85","10466",61,"bronx",77,0.792207792207792,"0.6-0.79"
"86","10467",127,"bronx",117,1.08547008547009,"1.0-1.19"
"87","10468",75,"bronx",78,0.961538461538462,"0.8-0.99"
"88","10469",59,"bronx",77,0.766233766233766,"0.6-0.79"
"89","10470",25,"bronx",38,0.657894736842105,"0.6-0.79"
"90","10471",24,"bronx",38,0.631578947368421,"0.6-0.79"
"91","10472",61,"bronx",87,0.701149425287356,"0.6-0.79"
"92","10473",20,"bronx",23,0.869565217391304,"0.8-0.99"
"93","10474",13,"bronx",29,0.448275862068966,"< 0.6"
"94","10475",36,"bronx",52,0.692307692307692,"0.6-0.79"
"95","10510",1,"bronx",1,1,"0.8-0.99"
"96","11001",2,"queens",2,1,"0.8-0.99"
"97","11004",21,"queens",31,0.67741935483871,"0.6-0.79"
"98","11005",3,"queens",3,1,"0.8-0.99"
"99","11040",21,"queens",17,1.23529411764706,"1.2-1.39"
"100","11101",241,"queens",226,1.06637168141593,"1.0-1.19"
"101","11102",55,"queens",74,0.743243243243243,"0.6-0.79"
"102","11103",148,"queens",173,0.855491329479769,"0.8-0.99"
"103","11104",86,"queens",91,0.945054945054945,"0.8-0.99"
"104","11105",87,"queens",113,0.769911504424779,"0.6-0.79"
"105","11106",144,"queens",146,0.986301369863014,"0.8-0.99"
"106","11109",10,"queens",7,1.42857142857143,"1.4-1.59"
"107","11201",285,"kings",303,0.940594059405941,"0.8-0.99"
"108","11203",101,"kings",121,0.834710743801653,"0.8-0.99"
"109","11204",112,"kings",108,1.03703703703704,"1.0-1.19"
"110","11205",91,"kings",111,0.81981981981982,"0.8-0.99"
"111","11206",111,"kings",120,0.925,"0.8-0.99"
"112","11207",119,"kings",124,0.959677419354839,"0.8-0.99"
"113","11208",82,"kings",81,1.01234567901235,"1.0-1.19"
"114","11209",191,"kings",206,0.927184466019418,"0.8-0.99"
"115","11210",54,"kings",60,0.9,"0.8-0.99"
"116","11211",323,"kings",321,1.00623052959502,"1.0-1.19"
"117","11212",58,"kings",77,0.753246753246753,"0.6-0.79"
"118","11213",74,"kings",71,1.04225352112676,"1.0-1.19"
"119","11214",157,"kings",160,0.98125,"0.8-0.99"
"120","11215",261,"kings",294,0.887755102040816,"0.8-0.99"
"121","11216",86,"kings",109,0.788990825688073,"0.6-0.79"
"122","11217",178,"kings",211,0.843601895734597,"0.8-0.99"
"123","11218",114,"kings",108,1.05555555555556,"1.0-1.19"
"124","11219",72,"kings",86,0.837209302325581,"0.8-0.99"
"125","11220",267,"kings",263,1.01520912547529,"1.0-1.19"
"126","11221",57,"kings",60,0.95,"0.8-0.99"
"127","11222",177,"kings",185,0.956756756756757,"0.8-0.99"
"128","11223",119,"kings",138,0.86231884057971,"0.8-0.99"
"129","11224",54,"kings",56,0.964285714285714,"0.8-0.99"
"130","11225",74,"kings",82,0.902439024390244,"0.8-0.99"
"131","11226",267,"kings",299,0.892976588628763,"0.8-0.99"
"132","11228",45,"kings",46,0.978260869565217,"0.8-0.99"
"133","11229",112,"kings",124,0.903225806451613,"0.8-0.99"
"134","11230",84,"kings",88,0.954545454545455,"0.8-0.99"
"135","11231",103,"kings",135,0.762962962962963,"0.6-0.79"
"136","11232",79,"kings",76,1.03947368421053,"1.0-1.19"
"137","11233",47,"kings",46,1.02173913043478,"1.0-1.19"
"138","11234",101,"kings",124,0.814516129032258,"0.8-0.99"
"139","11235",136,"kings",140,0.971428571428571,"0.8-0.99"
"140","11236",86,"kings",98,0.877551020408163,"0.8-0.99"
"141","11237",167,"kings",150,1.11333333333333,"1.0-1.19"
"142","11238",171,"kings",178,0.960674157303371,"0.8-0.99"
"143","11239",12,"kings",10,1.2,"1.0-1.19"
"144","11354",263,"queens",255,1.03137254901961,"1.0-1.19"
"145","11355",184,"queens",165,1.11515151515152,"1.0-1.19"
"146","11356",44,"queens",40,1.1,"1.0-1.19"
"147","11357",47,"queens",56,0.839285714285714,"0.8-0.99"
"148","11358",102,"queens",104,0.980769230769231,"0.8-0.99"
"149","11360",24,"queens",22,1.09090909090909,"1.0-1.19"
"150","11361",120,"queens",108,1.11111111111111,"1.0-1.19"
"151","11362",54,"queens",56,0.964285714285714,"0.8-0.99"
"152","11363",16,"queens",10,1.6,"1.4-1.59"
"153","11364",45,"queens",45,1,"0.8-0.99"
"154","11365",41,"queens",40,1.025,"1.0-1.19"
"155","11366",48,"queens",47,1.02127659574468,"1.0-1.19"
"156","11367",48,"queens",50,0.96,"0.8-0.99"
"157","11368",233,"queens",268,0.869402985074627,"0.8-0.99"
"158","11369",57,"queens",81,0.703703703703704,"0.6-0.79"
"159","11370",19,"queens",29,0.655172413793103,"0.6-0.79"
"160","11371",11,"queens",23,0.478260869565217,"< 0.6"
"161","11372",315,"queens",318,0.990566037735849,"0.8-0.99"
"162","11373",198,"queens",194,1.02061855670103,"1.0-1.19"
"163","11374",58,"queens",67,0.865671641791045,"0.8-0.99"
"164","11375",167,"queens",185,0.902702702702703,"0.8-0.99"
"165","11377",172,"queens",188,0.914893617021277,"0.8-0.99"
"166","11378",70,"queens",68,1.02941176470588,"1.0-1.19"
"167","11379",33,"queens",40,0.825,"0.8-0.99"
"168","11385",173,"queens",215,0.804651162790698,"0.8-0.99"
"169","11411",16,"queens",19,0.842105263157895,"0.8-0.99"
"170","11412",25,"queens",37,0.675675675675676,"0.6-0.79"
"171","11413",24,"queens",31,0.774193548387097,"0.6-0.79"
"172","11414",47,"queens",49,0.959183673469388,"0.8-0.99"
"173","11415",29,"queens",28,1.03571428571429,"1.0-1.19"
"174","11416",41,"queens",44,0.931818181818182,"0.8-0.99"
"175","11417",43,"queens",56,0.767857142857143,"0.6-0.79"
"176","11418",69,"queens",70,0.985714285714286,"0.8-0.99"
"177","11419",80,"queens",73,1.0958904109589,"1.0-1.19"
"178","11420",79,"queens",85,0.929411764705882,"0.8-0.99"
"179","11421",68,"queens",74,0.918918918918919,"0.8-0.99"
"180","11422",34,"queens",30,1.13333333333333,"1.0-1.19"
"181","11423",14,"queens",21,0.666666666666667,"0.6-0.79"
"182","11426",29,"queens",31,0.935483870967742,"0.8-0.99"
"183","11427",15,"queens",16,0.9375,"0.8-0.99"
"184","11428",39,"queens",37,1.05405405405405,"1.0-1.19"
"185","11429",5,"queens",21,0.238095238095238,"< 0.6"
"186","11430",150,"queens",162,0.925925925925926,"0.8-0.99"
"187","11432",152,"queens",150,1.01333333333333,"1.0-1.19"
"188","11433",17,"queens",19,0.894736842105263,"0.8-0.99"
"189","11434",48,"queens",52,0.923076923076923,"0.8-0.99"
"190","11435",92,"queens",103,0.893203883495146,"0.8-0.99"
"191","11436",18,"queens",15,1.2,"1.0-1.19"
"192","11451",2,"queens",2,1,"0.8-0.99"
"193","11691",32,"queens",38,0.842105263157895,"0.8-0.99"
"194","11692",10,"queens",8,1.25,"1.2-1.39"
"195","11693",28,"queens",26,1.07692307692308,"1.0-1.19"
"196","11694",40,"queens",39,1.02564102564103,"1.0-1.19"
"197","11697",1,"queens",2,0.5,"< 0.6"
