"","region","freq","BORO","REST","orival","value"
"1","10001",1195,"new york",403,2.96526054590571,"2.8-2.99"
"2","10002",1073,"new york",357,3.00560224089636,"3.0-3.19"
"3","10003",1598,"new york",542,2.94833948339483,"2.8-2.99"
"4","10004",292,"new york",124,2.35483870967742,"< 2.6"
"5","10005",133,"new york",49,2.71428571428571,"2.6-2.79"
"6","10006",117,"new york",39,3,"2.8-2.99"
"7","10007",236,"new york",98,2.40816326530612,"< 2.6"
"8","10009",759,"new york",243,3.12345679012346,"3.0-3.19"
"9","10010",589,"new york",200,2.945,"2.8-2.99"
"10","10011",1113,"new york",389,2.86118251928021,"2.8-2.99"
"11","10012",985,"new york",340,2.89705882352941,"2.8-2.99"
"12","10013",1325,"new york",410,3.23170731707317,"3.2-3.39"
"13","10014",1027,"new york",350,2.93428571428571,"2.8-2.99"
"14","10016",983,"new york",326,3.01533742331288,"3.0-3.19"
"15","10017",998,"new york",322,3.09937888198758,"3.0-3.19"
"16","10018",713,"new york",244,2.92213114754098,"2.8-2.99"
"17","10019",1666,"new york",597,2.79061976549414,"2.6-2.79"
"18","10020",101,"new york",41,2.46341463414634,"< 2.6"
"19","10021",403,"new york",126,3.1984126984127,"3.0-3.19"
"20","10022",1124,"new york",397,2.83123425692695,"2.8-2.99"
"21","10023",438,"new york",157,2.78980891719745,"2.6-2.79"
"22","10024",481,"new york",158,3.04430379746835,"3.0-3.19"
"23","10025",710,"new york",225,3.15555555555556,"3.0-3.19"
"24","10026",204,"new york",68,3,"2.8-2.99"
"25","10027",400,"new york",134,2.98507462686567,"2.8-2.99"
"26","10028",441,"new york",162,2.72222222222222,"2.6-2.79"
"27","10029",471,"new york",154,3.05844155844156,"3.0-3.19"
"28","10030",95,"new york",31,3.06451612903226,"3.0-3.19"
"29","10031",314,"new york",97,3.23711340206186,"3.2-3.39"
"30","10032",328,"new york",100,3.28,"3.2-3.39"
"31","10033",284,"new york",90,3.15555555555556,"3.0-3.19"
"32","10034",298,"new york",86,3.46511627906977,"3.4-3.59"
"33","10035",169,"new york",57,2.96491228070175,"2.8-2.99"
"34","10036",1429,"new york",496,2.88104838709677,"2.8-2.99"
"35","10037",72,"new york",22,3.27272727272727,"3.2-3.39"
"36","10038",496,"new york",164,3.02439024390244,"3.0-3.19"
"37","10039",62,"new york",22,2.81818181818182,"2.8-2.99"
"38","10040",104,"new york",38,2.73684210526316,"2.6-2.79"
"39","10044",12,"new york",6,2,"< 2.6"
