"","BORO","freq","orival","region","value"
"1","bronx",476,1.01492537313433,36005,"1.0-1.19"
"2","kings",1634,1.1797833935018,36047,"1.0-1.19"
"3","new york",3029,1.23380855397149,36061,"1.2-1.29"
"4","queens",1664,1.19283154121864,36081,"1.0-1.19"
"5","richmond",321,1.24418604651163,36085,"1.2-1.29"
