"","BORO","freq","orival","region","value"
"1","bronx",5588,2.78564307078764,36005,"2.6-2.79"
"2","kings",16538,3.0837217975014,36047,"3.0-3.19"
"3","new york",26912,3.09049150206706,36061,"3.0-3.19"
"4","queens",14029,2.88900329489292,36081,"2.8-2.99"
"5","richmond",2406,3.10451612903226,36085,"3.0-3.19"
