"","region","freq","BORO","REST","orival","value"
"1","10001",257,"new york",403,0.637717121588089,"0.6-0.79"
"2","10002",259,"new york",357,0.725490196078431,"0.6-0.79"
"3","10003",398,"new york",542,0.734317343173432,"0.6-0.79"
"4","10004",69,"new york",124,0.556451612903226,"< 0.6"
"5","10005",17,"new york",49,0.346938775510204,"< 0.6"
"6","10006",26,"new york",39,0.666666666666667,"0.6-0.79"
"7","10007",32,"new york",98,0.326530612244898,"< 0.6"
"8","10009",219,"new york",243,0.901234567901235,"0.8-0.99"
"9","10010",148,"new york",200,0.74,"0.6-0.79"
"10","10011",307,"new york",389,0.789203084832905,"0.6-0.79"
"11","10012",243,"new york",340,0.714705882352941,"0.6-0.79"
"12","10013",319,"new york",410,0.778048780487805,"0.6-0.79"
"13","10014",261,"new york",350,0.745714285714286,"0.6-0.79"
"14","10016",275,"new york",326,0.843558282208589,"0.8-0.99"
"15","10017",237,"new york",322,0.736024844720497,"0.6-0.79"
"16","10018",157,"new york",244,0.64344262295082,"0.6-0.79"
"17","10019",335,"new york",597,0.561139028475712,"< 0.6"
"18","10020",18,"new york",41,0.439024390243902,"< 0.6"
"19","10021",92,"new york",126,0.73015873015873,"0.6-0.79"
"20","10022",244,"new york",397,0.614609571788413,"0.6-0.79"
"21","10023",103,"new york",157,0.656050955414013,"0.6-0.79"
"22","10024",126,"new york",158,0.79746835443038,"0.6-0.79"
"23","10025",185,"new york",225,0.822222222222222,"0.8-0.99"
"24","10026",51,"new york",68,0.75,"0.6-0.79"
"25","10027",91,"new york",134,0.67910447761194,"0.6-0.79"
"26","10028",112,"new york",162,0.691358024691358,"0.6-0.79"
"27","10029",120,"new york",154,0.779220779220779,"0.6-0.79"
"28","10030",32,"new york",31,1.03225806451613,"1.0-1.19"
"29","10031",93,"new york",97,0.958762886597938,"0.8-0.99"
"30","10032",96,"new york",100,0.96,"0.8-0.99"
"31","10033",68,"new york",90,0.755555555555556,"0.6-0.79"
"32","10034",91,"new york",86,1.05813953488372,"1.0-1.19"
"33","10035",44,"new york",57,0.771929824561403,"0.6-0.79"
"34","10036",278,"new york",496,0.560483870967742,"< 0.6"
"35","10037",29,"new york",22,1.31818181818182,"1.2-1.39"
"36","10038",83,"new york",164,0.50609756097561,"< 0.6"
"37","10039",11,"new york",22,0.5,"< 0.6"
"38","10040",32,"new york",38,0.842105263157895,"0.8-0.99"
"39","10044",1,"new york",6,0.166666666666667,"< 0.6"
"40","10065",119,"new york",156,0.762820512820513,"0.6-0.79"
