"","region","freq","BORO","REST","orival","value"
"1","10001",347,"new york",444,0.781531531531532,"0.6-0.79"
"2","10002",277,"new york",378,0.732804232804233,"0.6-0.79"
"3","10003",565,"new york",559,1.01073345259392,"1.0-1.19"
"4","10004",78,"new york",136,0.573529411764706,"< 0.6"
"5","10005",32,"new york",53,0.60377358490566,"0.6-0.79"
"6","10006",28,"new york",41,0.682926829268293,"0.6-0.79"
"7","10007",61,"new york",112,0.544642857142857,"< 0.6"
"8","10009",204,"new york",231,0.883116883116883,"0.8-0.99"
"9","10010",180,"new york",226,0.79646017699115,"0.6-0.79"
"10","10011",328,"new york",384,0.854166666666667,"0.8-0.99"
"11","10012",231,"new york",340,0.679411764705882,"0.6-0.79"
"12","10013",399,"new york",425,0.938823529411765,"0.8-0.99"
"13","10014",266,"new york",311,0.855305466237942,"0.8-0.99"
"14","10016",430,"new york",381,1.12860892388451,"1.0-1.19"
"15","10017",250,"new york",311,0.803858520900322,"0.8-0.99"
"16","10018",222,"new york",293,0.757679180887372,"0.6-0.79"
"17","10019",459,"new york",599,0.766277128547579,"0.6-0.79"
"18","10020",20,"new york",39,0.512820512820513,"< 0.6"
"19","10021",135,"new york",131,1.03053435114504,"1.0-1.19"
"20","10022",347,"new york",377,0.920424403183024,"0.8-0.99"
"21","10023",140,"new york",167,0.838323353293413,"0.8-0.99"
"22","10024",144,"new york",147,0.979591836734694,"0.8-0.99"
"23","10025",210,"new york",300,0.7,"0.6-0.79"
"24","10026",59,"new york",71,0.830985915492958,"0.8-0.99"
"25","10027",136,"new york",147,0.925170068027211,"0.8-0.99"
"26","10028",169,"new york",169,1,"0.8-0.99"
"27","10029",164,"new york",172,0.953488372093023,"0.8-0.99"
"28","10030",31,"new york",36,0.861111111111111,"0.8-0.99"
"29","10031",124,"new york",104,1.19230769230769,"1.0-1.19"
"30","10032",107,"new york",100,1.07,"1.0-1.19"
"31","10033",76,"new york",90,0.844444444444444,"0.8-0.99"
"32","10034",102,"new york",74,1.37837837837838,"1.2-1.39"
"33","10035",64,"new york",73,0.876712328767123,"0.8-0.99"
"34","10036",424,"new york",512,0.828125,"0.8-0.99"
"35","10037",30,"new york",31,0.967741935483871,"0.8-0.99"
"36","10038",114,"new york",160,0.7125,"0.6-0.79"
"37","10039",15,"new york",24,0.625,"0.6-0.79"
"38","10040",54,"new york",57,0.947368421052632,"0.8-0.99"
"39","10044",4,"new york",4,1,"0.8-0.99"
"40","10065",143,"new york",153,0.934640522875817,"0.8-0.99"
"41","10069",2,"new york",3,0.666666666666667,"0.6-0.79"
"42","10075",55,"new york",79,0.69620253164557,"0.6-0.79"
"43","10111",2,"new york",5,0.4,"< 0.6"
"44","10112",7,"new york",20,0.35,"< 0.6"
"45","10119",9,"new york",14,0.642857142857143,"0.6-0.79"
"46","10128",151,"new york",134,1.12686567164179,"1.0-1.19"
"47","10152",2,"new york",1,2,"> 1.6"
"48","10153",1,"new york",1,1,"0.8-0.99"
"49","10167",2,"new york",3,0.666666666666667,"0.6-0.79"
"50","10169",2,"new york",17,0.117647058823529,"< 0.6"
"51","10170",2,"new york",1,2,"> 1.6"
"52","10199",1,"new york",1,1,"0.8-0.99"
"53","10279",1,"new york",2,0.5,"< 0.6"
"54","10280",26,"new york",36,0.722222222222222,"0.6-0.79"
"55","10282",6,"new york",13,0.461538461538462,"< 0.6"
"56","10301",97,"richmond",91,1.06593406593407,"1.0-1.19"
"57","10302",81,"richmond",62,1.30645161290323,"1.2-1.39"
"58","10303",16,"richmond",29,0.551724137931034,"< 0.6"
"59","10304",51,"richmond",40,1.275,"1.2-1.39"
"60","10305",58,"richmond",77,0.753246753246753,"0.6-0.79"
"61","10306",52,"richmond",79,0.658227848101266,"0.6-0.79"
"62","10307",7,"richmond",24,0.291666666666667,"< 0.6"
"63","10308",8,"richmond",40,0.2,"< 0.6"
"64","10309",30,"richmond",63,0.476190476190476,"< 0.6"
"65","10310",47,"richmond",48,0.979166666666667,"0.8-0.99"
"66","10311",2,"richmond",2,1,"0.8-0.99"
"67","10312",48,"richmond",68,0.705882352941177,"0.6-0.79"
"68","10314",132,"richmond",152,0.868421052631579,"0.8-0.99"
"69","10451",130,"bronx",147,0.884353741496599,"0.8-0.99"
"70","10452",84,"bronx",81,1.03703703703704,"1.0-1.19"
"71","10453",95,"bronx",76,1.25,"1.2-1.39"
"72","10454",57,"bronx",58,0.982758620689655,"0.8-0.99"
"73","10455",85,"bronx",87,0.977011494252874,"0.8-0.99"
"74","10456",61,"bronx",71,0.859154929577465,"0.8-0.99"
"75","10457",77,"bronx",72,1.06944444444444,"1.0-1.19"
"76","10458",149,"bronx",153,0.973856209150327,"0.8-0.99"
"77","10459",66,"bronx",67,0.985074626865672,"0.8-0.99"
"78","10460",41,"bronx",61,0.672131147540984,"0.6-0.79"
"79","10461",96,"bronx",127,0.755905511811024,"0.6-0.79"
"80","10462",119,"bronx",134,0.888059701492537,"0.8-0.99"
"81","10463",87,"bronx",108,0.805555555555556,"0.8-0.99"
"82","10464",39,"bronx",37,1.05405405405405,"1.0-1.19"
"83","10465",55,"bronx",67,0.82089552238806,"0.8-0.99"
"84","10466",111,"bronx",78,1.42307692307692,"1.4-1.59"
"85","10467",130,"bronx",126,1.03174603174603,"1.0-1.19"
"86","10468",94,"bronx",86,1.09302325581395,"1.0-1.19"
"87","10469",88,"bronx",85,1.03529411764706,"1.0-1.19"
"88","10470",50,"bronx",39,1.28205128205128,"1.2-1.39"
"89","10471",42,"bronx",44,0.954545454545455,"0.8-0.99"
"90","10472",90,"bronx",98,0.918367346938776,"0.8-0.99"
"91","10473",12,"bronx",21,0.571428571428571,"< 0.6"
"92","10474",18,"bronx",27,0.666666666666667,"0.6-0.79"
"93","10475",38,"bronx",52,0.730769230769231,"0.6-0.79"
"94","10510",2,"bronx",1,2,"> 1.6"
"95","11001",2,"queens",1,2,"> 1.6"
"96","11004",7,"queens",22,0.318181818181818,"< 0.6"
"97","11005",6,"queens",3,2,"> 1.6"
"98","11040",15,"queens",18,0.833333333333333,"0.8-0.99"
"99","11101",195,"queens",236,0.826271186440678,"0.8-0.99"
"100","11102",46,"queens",70,0.657142857142857,"0.6-0.79"
"101","11103",158,"queens",179,0.88268156424581,"0.8-0.99"
"102","11104",71,"queens",92,0.771739130434783,"0.6-0.79"
"103","11105",103,"queens",114,0.903508771929825,"0.8-0.99"
"104","11106",92,"queens",137,0.671532846715328,"0.6-0.79"
"105","11109",7,"queens",7,1,"0.8-0.99"
"106","11201",229,"kings",321,0.713395638629283,"0.6-0.79"
"107","11203",175,"kings",125,1.4,"1.2-1.39"
"108","11204",144,"kings",119,1.21008403361345,"1.2-1.39"
"109","11205",108,"kings",123,0.878048780487805,"0.8-0.99"
"110","11206",92,"kings",127,0.724409448818898,"0.6-0.79"
"111","11207",110,"kings",112,0.982142857142857,"0.8-0.99"
"112","11208",116,"kings",109,1.06422018348624,"1.0-1.19"
"113","11209",211,"kings",220,0.959090909090909,"0.8-0.99"
"114","11210",69,"kings",74,0.932432432432432,"0.8-0.99"
"115","11211",238,"kings",326,0.730061349693252,"0.6-0.79"
"116","11212",104,"kings",99,1.05050505050505,"1.0-1.19"
"117","11213",109,"kings",95,1.14736842105263,"1.0-1.19"
"118","11214",139,"kings",152,0.914473684210526,"0.8-0.99"
"119","11215",283,"kings",297,0.952861952861953,"0.8-0.99"
"120","11216",149,"kings",147,1.01360544217687,"1.0-1.19"
"121","11217",179,"kings",226,0.792035398230089,"0.6-0.79"
"122","11218",110,"kings",120,0.916666666666667,"0.8-0.99"
"123","11219",66,"kings",83,0.795180722891566,"0.6-0.79"
"124","11220",339,"kings",327,1.03669724770642,"1.0-1.19"
"125","11221",92,"kings",86,1.06976744186047,"1.0-1.19"
"126","11222",158,"kings",172,0.918604651162791,"0.8-0.99"
"127","11223",142,"kings",149,0.953020134228188,"0.8-0.99"
"128","11224",34,"kings",65,0.523076923076923,"< 0.6"
"129","11225",88,"kings",103,0.854368932038835,"0.8-0.99"
"130","11226",295,"kings",299,0.986622073578595,"0.8-0.99"
"131","11228",29,"kings",47,0.617021276595745,"0.6-0.79"
"132","11229",99,"kings",105,0.942857142857143,"0.8-0.99"
"133","11230",86,"kings",84,1.02380952380952,"1.0-1.19"
"134","11231",98,"kings",119,0.823529411764706,"0.8-0.99"
"135","11232",92,"kings",96,0.958333333333333,"0.8-0.99"
"136","11233",58,"kings",63,0.920634920634921,"0.8-0.99"
"137","11234",82,"kings",139,0.589928057553957,"< 0.6"
"138","11235",94,"kings",142,0.661971830985915,"0.6-0.79"
"139","11236",103,"kings",114,0.903508771929825,"0.8-0.99"
"140","11237",140,"kings",168,0.833333333333333,"0.8-0.99"
"141","11238",170,"kings",194,0.876288659793814,"0.8-0.99"
"142","11239",14,"kings",16,0.875,"0.8-0.99"
"143","11354",228,"queens",321,0.710280373831776,"0.6-0.79"
"144","11355",135,"queens",168,0.803571428571429,"0.8-0.99"
"145","11356",14,"queens",34,0.411764705882353,"< 0.6"
"146","11357",18,"queens",47,0.382978723404255,"< 0.6"
"147","11358",63,"queens",93,0.67741935483871,"0.6-0.79"
"148","11360",7,"queens",20,0.35,"< 0.6"
"149","11361",46,"queens",91,0.505494505494505,"< 0.6"
"150","11362",32,"queens",48,0.666666666666667,"0.6-0.79"
"151","11363",5,"queens",11,0.454545454545455,"< 0.6"
"152","11364",32,"queens",42,0.761904761904762,"0.6-0.79"
"153","11365",27,"queens",33,0.818181818181818,"0.8-0.99"
"154","11366",29,"queens",43,0.674418604651163,"0.6-0.79"
"155","11367",30,"queens",42,0.714285714285714,"0.6-0.79"
"156","11368",226,"queens",272,0.830882352941177,"0.8-0.99"
"157","11369",44,"queens",72,0.611111111111111,"0.6-0.79"
"158","11370",8,"queens",24,0.333333333333333,"< 0.6"
"159","11371",13,"queens",29,0.448275862068966,"< 0.6"
"160","11372",261,"queens",287,0.909407665505226,"0.8-0.99"
"161","11373",171,"queens",192,0.890625,"0.8-0.99"
"162","11374",49,"queens",79,0.620253164556962,"0.6-0.79"
"163","11375",112,"queens",165,0.678787878787879,"0.6-0.79"
"164","11377",138,"queens",160,0.8625,"0.8-0.99"
"165","11378",54,"queens",71,0.76056338028169,"0.6-0.79"
"166","11379",42,"queens",41,1.02439024390244,"1.0-1.19"
"167","11385",187,"queens",223,0.838565022421525,"0.8-0.99"
"168","11411",24,"queens",22,1.09090909090909,"1.0-1.19"
"169","11412",29,"queens",35,0.828571428571429,"0.8-0.99"
"170","11413",33,"queens",40,0.825,"0.8-0.99"
"171","11414",32,"queens",41,0.780487804878049,"0.6-0.79"
"172","11415",19,"queens",32,0.59375,"< 0.6"
"173","11416",27,"queens",34,0.794117647058823,"0.6-0.79"
"174","11417",36,"queens",59,0.610169491525424,"0.6-0.79"
"175","11418",70,"queens",81,0.864197530864197,"0.8-0.99"
"176","11419",90,"queens",88,1.02272727272727,"1.0-1.19"
"177","11420",70,"queens",84,0.833333333333333,"0.8-0.99"
"178","11421",75,"queens",69,1.08695652173913,"1.0-1.19"
"179","11422",31,"queens",31,1,"0.8-0.99"
"180","11423",31,"queens",30,1.03333333333333,"1.0-1.19"
"181","11426",21,"queens",31,0.67741935483871,"0.6-0.79"
"182","11427",16,"queens",17,0.941176470588235,"0.8-0.99"
"183","11428",42,"queens",31,1.35483870967742,"1.2-1.39"
"184","11429",18,"queens",22,0.818181818181818,"0.8-0.99"
"185","11430",106,"queens",148,0.716216216216216,"0.6-0.79"
"186","11432",150,"queens",162,0.925925925925926,"0.8-0.99"
"187","11433",27,"queens",22,1.22727272727273,"1.2-1.39"
"188","11434",67,"queens",73,0.917808219178082,"0.8-0.99"
"189","11435",98,"queens",99,0.98989898989899,"0.8-0.99"
"190","11436",15,"queens",18,0.833333333333333,"0.8-0.99"
"191","11691",34,"queens",36,0.944444444444444,"0.8-0.99"
"192","11693",18,"queens",26,0.692307692307692,"0.6-0.79"
"193","11694",35,"queens",30,1.16666666666667,"1.0-1.19"
"194","11697",2,"queens",5,0.4,"< 0.6"
