"","BORO","freq","orival","region","value"
"1","bronx",2177,1.14158363922391,36005,"1.0-1.19"
"2","kings",5735,1.15415576574764,36047,"1.0-1.19"
"3","new york",10254,1.22743595882212,36061,"1.2-1.29"
"4","queens",5754,1.17644653445103,36081,"1.0-1.19"
"5","richmond",875,1.31975867269985,36085,"1.3-1.39"
