"","region","freq","BORO","REST","orival","value"
"1","10001",336,"new york",117,2.87179487179487,"2.8-2.99"
"2","10002",304,"new york",90,3.37777777777778,"3.2-3.39"
"3","10003",468,"new york",144,3.25,"3.2-3.39"
"4","10004",88,"new york",33,2.66666666666667,"2.6-2.79"
"5","10005",58,"new york",16,3.625,"> 3.6"
"6","10006",68,"new york",19,3.57894736842105,"3.4-3.59"
"7","10007",97,"new york",33,2.93939393939394,"2.8-2.99"
"8","10009",268,"new york",85,3.15294117647059,"3.0-3.19"
"9","10010",206,"new york",71,2.90140845070423,"2.8-2.99"
"10","10011",294,"new york",101,2.91089108910891,"2.8-2.99"
"11","10012",360,"new york",109,3.30275229357798,"3.2-3.39"
"12","10013",360,"new york",113,3.1858407079646,"3.0-3.19"
"13","10014",435,"new york",133,3.27067669172932,"3.2-3.39"
"14","10016",266,"new york",88,3.02272727272727,"3.0-3.19"
"15","10017",246,"new york",81,3.03703703703704,"3.0-3.19"
"16","10018",222,"new york",65,3.41538461538462,"3.4-3.59"
"17","10019",483,"new york",178,2.71348314606742,"2.6-2.79"
"18","10020",34,"new york",18,1.88888888888889,"< 2.6"
"19","10021",131,"new york",39,3.35897435897436,"3.2-3.39"
"20","10022",357,"new york",106,3.36792452830189,"3.2-3.39"
"21","10023",163,"new york",60,2.71666666666667,"2.6-2.79"
"22","10024",156,"new york",48,3.25,"3.2-3.39"
"23","10025",228,"new york",67,3.40298507462687,"3.4-3.59"
"24","10026",44,"new york",13,3.38461538461538,"3.2-3.39"
"25","10027",88,"new york",31,2.83870967741935,"2.8-2.99"
"26","10028",148,"new york",42,3.52380952380952,"3.4-3.59"
"27","10029",107,"new york",39,2.74358974358974,"2.6-2.79"
"28","10030",17,"new york",7,2.42857142857143,"< 2.6"
"29","10031",67,"new york",24,2.79166666666667,"2.6-2.79"
"30","10032",116,"new york",39,2.97435897435897,"2.8-2.99"
"31","10033",102,"new york",36,2.83333333333333,"2.8-2.99"
"32","10034",73,"new york",23,3.17391304347826,"3.0-3.19"
"33","10035",34,"new york",10,3.4,"3.2-3.39"
"34","10036",510,"new york",172,2.96511627906977,"2.8-2.99"
"35","10037",14,"new york",7,2,"< 2.6"
"36","10038",90,"new york",31,2.90322580645161,"2.8-2.99"
"37","10039",10,"new york",5,2,"< 2.6"
"38","10040",40,"new york",12,3.33333333333333,"3.2-3.39"
"39","10044",10,"new york",5,2,"< 2.6"
"40","10065",133,"new york",45,2.95555555555556,"2.8-2.99"
"41","10069",9,"new york",3,3,"2.8-2.99"
"42","10075",108,"new york",31,3.48387096774194,"3.4-3.59"
"43","10110",2,"new york",1,2,"< 2.6"
"44","10111",9,"new york",4,2.25,"< 2.6"
"45","10112",9,"new york",4,2.25,"< 2.6"
"46","10119",5,"new york",3,1.66666666666667,"< 2.6"
"47","10128",164,"new york",45,3.64444444444444,"> 3.6"
"48","10167",1,"new york",1,1,"< 2.6"
"49","10168",2,"new york",1,2,"< 2.6"
"50","10280",13,"new york",5,2.6,"< 2.6"
"51","10282",2,"new york",2,1,"< 2.6"
"52","10301",71,"richmond",26,2.73076923076923,"2.6-2.79"
"53","10302",37,"richmond",10,3.7,"> 3.6"
"54","10303",34,"richmond",9,3.77777777777778,"> 3.6"
"55","10304",48,"richmond",12,4,"> 3.6"
"56","10305",97,"richmond",31,3.12903225806452,"3.0-3.19"
"57","10306",113,"richmond",34,3.32352941176471,"3.2-3.39"
"58","10307",44,"richmond",15,2.93333333333333,"2.8-2.99"
"59","10308",67,"richmond",19,3.52631578947368,"3.4-3.59"
"60","10309",63,"richmond",20,3.15,"3.0-3.19"
"61","10310",38,"richmond",12,3.16666666666667,"3.0-3.19"
"62","10312",63,"richmond",20,3.15,"3.0-3.19"
"63","10314",159,"richmond",50,3.18,"3.0-3.19"
"64","10451",77,"bronx",30,2.56666666666667,"< 2.6"
"65","10452",41,"bronx",16,2.5625,"< 2.6"
"66","10453",80,"bronx",28,2.85714285714286,"2.8-2.99"
"67","10454",34,"bronx",12,2.83333333333333,"2.8-2.99"
"68","10455",73,"bronx",24,3.04166666666667,"3.0-3.19"
"69","10456",53,"bronx",18,2.94444444444444,"2.8-2.99"
"70","10457",60,"bronx",22,2.72727272727273,"2.6-2.79"
"71","10458",118,"bronx",36,3.27777777777778,"3.2-3.39"
"72","10459",47,"bronx",15,3.13333333333333,"3.0-3.19"
"73","10460",24,"bronx",8,3,"2.8-2.99"
"74","10461",82,"bronx",27,3.03703703703704,"3.0-3.19"
"75","10462",95,"bronx",37,2.56756756756757,"< 2.6"
"76","10463",79,"bronx",27,2.92592592592593,"2.8-2.99"
"77","10464",24,"bronx",7,3.42857142857143,"3.4-3.59"
"78","10465",35,"bronx",11,3.18181818181818,"3.0-3.19"
"79","10466",45,"bronx",18,2.5,"< 2.6"
"80","10467",72,"bronx",27,2.66666666666667,"2.6-2.79"
"81","10468",60,"bronx",21,2.85714285714286,"2.8-2.99"
"82","10469",63,"bronx",19,3.31578947368421,"3.2-3.39"
"83","10470",36,"bronx",10,3.6,"3.4-3.59"
"84","10471",41,"bronx",13,3.15384615384615,"3.0-3.19"
"85","10472",76,"bronx",26,2.92307692307692,"2.8-2.99"
"86","10473",10,"bronx",3,3.33333333333333,"3.2-3.39"
"87","10474",14,"bronx",5,2.8,"2.6-2.79"
"88","10475",29,"bronx",8,3.625,"> 3.6"
"89","11001",2,"queens",1,2,"< 2.6"
"90","11004",44,"queens",13,3.38461538461538,"3.2-3.39"
"91","11040",5,"queens",2,2.5,"< 2.6"
"92","11101",194,"queens",54,3.59259259259259,"3.4-3.59"
"93","11102",50,"queens",20,2.5,"< 2.6"
"94","11103",190,"queens",53,3.58490566037736,"3.4-3.59"
"95","11104",64,"queens",23,2.78260869565217,"2.6-2.79"
"96","11105",115,"queens",38,3.02631578947368,"3.0-3.19"
"97","11106",123,"queens",41,3,"2.8-2.99"
"98","11109",7,"queens",2,3.5,"3.4-3.59"
"99","11201",274,"kings",96,2.85416666666667,"2.8-2.99"
"100","11203",79,"kings",22,3.59090909090909,"3.4-3.59"
"101","11204",115,"kings",40,2.875,"2.8-2.99"
"102","11205",129,"kings",45,2.86666666666667,"2.8-2.99"
"103","11206",100,"kings",38,2.63157894736842,"2.6-2.79"
"104","11207",69,"kings",24,2.875,"2.8-2.99"
"105","11208",93,"kings",28,3.32142857142857,"3.2-3.39"
"106","11209",176,"kings",54,3.25925925925926,"3.2-3.39"
"107","11210",46,"kings",16,2.875,"2.8-2.99"
"108","11211",305,"kings",91,3.35164835164835,"3.2-3.39"
"109","11212",77,"kings",24,3.20833333333333,"3.2-3.39"
"110","11213",55,"kings",16,3.4375,"3.4-3.59"
"111","11214",118,"kings",34,3.47058823529412,"3.4-3.59"
"112","11215",261,"kings",79,3.30379746835443,"3.2-3.39"
"113","11216",105,"kings",32,3.28125,"3.2-3.39"
"114","11217",163,"kings",56,2.91071428571429,"2.8-2.99"
"115","11218",112,"kings",32,3.5,"3.4-3.59"
"116","11219",66,"kings",20,3.3,"3.2-3.39"
"117","11220",196,"kings",63,3.11111111111111,"3.0-3.19"
"118","11221",34,"kings",11,3.09090909090909,"3.0-3.19"
"119","11222",123,"kings",40,3.075,"3.0-3.19"
"120","11223",123,"kings",46,2.67391304347826,"2.6-2.79"
"121","11224",40,"kings",14,2.85714285714286,"2.8-2.99"
"122","11225",101,"kings",31,3.25806451612903,"3.2-3.39"
"123","11226",242,"kings",78,3.1025641025641,"3.0-3.19"
"124","11228",57,"kings",23,2.47826086956522,"< 2.6"
"125","11229",96,"kings",29,3.31034482758621,"3.2-3.39"
"126","11230",82,"kings",26,3.15384615384615,"3.0-3.19"
"127","11231",105,"kings",36,2.91666666666667,"2.8-2.99"
"128","11232",46,"kings",17,2.70588235294118,"2.6-2.79"
"129","11233",57,"kings",18,3.16666666666667,"3.0-3.19"
"130","11234",116,"kings",40,2.9,"2.8-2.99"
"131","11235",143,"kings",41,3.48780487804878,"3.4-3.59"
"132","11236",63,"kings",20,3.15,"3.0-3.19"
"133","11237",100,"kings",38,2.63157894736842,"2.6-2.79"
"134","11238",203,"kings",65,3.12307692307692,"3.0-3.19"
"135","11239",4,"kings",2,2,"< 2.6"
"136","11354",224,"queens",69,3.2463768115942,"3.2-3.39"
"137","11355",92,"queens",25,3.68,"> 3.6"
"138","11356",22,"queens",9,2.44444444444444,"< 2.6"
"139","11357",44,"queens",16,2.75,"2.6-2.79"
"140","11358",109,"queens",33,3.3030303030303,"3.2-3.39"
"141","11360",40,"queens",12,3.33333333333333,"3.2-3.39"
"142","11361",88,"queens",31,2.83870967741935,"2.8-2.99"
"143","11362",27,"queens",8,3.375,"3.2-3.39"
"144","11363",8,"queens",3,2.66666666666667,"2.6-2.79"
"145","11364",72,"queens",23,3.1304347826087,"3.0-3.19"
"146","11365",40,"queens",10,4,"> 3.6"
"147","11366",14,"queens",6,2.33333333333333,"< 2.6"
"148","11367",42,"queens",15,2.8,"2.6-2.79"
"149","11368",224,"queens",68,3.29411764705882,"3.2-3.39"
"150","11369",65,"queens",21,3.0952380952381,"3.0-3.19"
"151","11370",21,"queens",7,3,"2.8-2.99"
"152","11371",14,"queens",5,2.8,"2.6-2.79"
"153","11372",258,"queens",81,3.18518518518519,"3.0-3.19"
"154","11373",162,"queens",55,2.94545454545455,"2.8-2.99"
"155","11374",65,"queens",19,3.42105263157895,"3.4-3.59"
"156","11375",183,"queens",62,2.95161290322581,"2.8-2.99"
"157","11377",158,"queens",48,3.29166666666667,"3.2-3.39"
"158","11378",59,"queens",22,2.68181818181818,"2.6-2.79"
"159","11379",29,"queens",11,2.63636363636364,"2.6-2.79"
"160","11385",213,"queens",68,3.13235294117647,"3.0-3.19"
"161","11411",22,"queens",6,3.66666666666667,"> 3.6"
"162","11412",32,"queens",14,2.28571428571429,"< 2.6"
"163","11413",44,"queens",11,4,"> 3.6"
"164","11414",45,"queens",15,3,"2.8-2.99"
"165","11415",31,"queens",9,3.44444444444444,"3.4-3.59"
"166","11416",55,"queens",15,3.66666666666667,"> 3.6"
"167","11417",42,"queens",14,3,"2.8-2.99"
"168","11418",62,"queens",18,3.44444444444444,"3.4-3.59"
"169","11419",67,"queens",20,3.35,"3.2-3.39"
"170","11420",86,"queens",34,2.52941176470588,"< 2.6"
"171","11421",56,"queens",17,3.29411764705882,"3.2-3.39"
"172","11422",30,"queens",12,2.5,"< 2.6"
"173","11423",31,"queens",8,3.875,"> 3.6"
"174","11426",28,"queens",10,2.8,"2.6-2.79"
"175","11427",12,"queens",5,2.4,"< 2.6"
"176","11428",56,"queens",14,4,"> 3.6"
"177","11429",25,"queens",7,3.57142857142857,"3.4-3.59"
"178","11430",105,"queens",46,2.28260869565217,"< 2.6"
"179","11432",149,"queens",46,3.23913043478261,"3.2-3.39"
"180","11433",12,"queens",5,2.4,"< 2.6"
"181","11434",41,"queens",15,2.73333333333333,"2.6-2.79"
"182","11435",120,"queens",35,3.42857142857143,"3.4-3.59"
"183","11436",17,"queens",6,2.83333333333333,"2.8-2.99"
"184","11451",4,"queens",1,4,"> 3.6"
"185","11691",31,"queens",11,2.81818181818182,"2.8-2.99"
"186","11692",6,"queens",3,2,"< 2.6"
"187","11693",13,"queens",6,2.16666666666667,"< 2.6"
"188","11694",58,"queens",17,3.41176470588235,"3.4-3.59"
"189","11697",8,"queens",2,4,"> 3.6"
