"","region","freq","BORO","REST","orival","value"
"1","10001",599,"new york",444,1.3490990990991,"1.3-1.39"
"2","10002",506,"new york",378,1.33862433862434,"1.3-1.39"
"3","10003",692,"new york",559,1.23792486583184,"1.2-1.29"
"4","10004",166,"new york",136,1.22058823529412,"1.2-1.29"
"5","10005",68,"new york",53,1.28301886792453,"1.2-1.29"
"6","10006",64,"new york",41,1.5609756097561,"1.5-1.59"
"7","10007",179,"new york",112,1.59821428571429,"1.5-1.59"
"8","10009",254,"new york",231,1.0995670995671,"1.0-1.19"
"9","10010",305,"new york",226,1.34955752212389,"1.3-1.39"
"10","10011",484,"new york",384,1.26041666666667,"1.2-1.29"
"11","10012",437,"new york",340,1.28529411764706,"1.2-1.29"
"12","10013",575,"new york",425,1.35294117647059,"1.3-1.39"
"13","10014",366,"new york",311,1.17684887459807,"1.0-1.19"
"14","10016",462,"new york",381,1.21259842519685,"1.2-1.29"
"15","10017",394,"new york",311,1.26688102893891,"1.2-1.29"
"16","10018",386,"new york",293,1.31740614334471,"1.3-1.39"
"17","10019",766,"new york",599,1.2787979966611,"1.2-1.29"
"18","10020",49,"new york",39,1.25641025641026,"1.2-1.29"
"19","10021",156,"new york",131,1.19083969465649,"1.0-1.19"
"20","10022",460,"new york",377,1.22015915119363,"1.2-1.29"
"21","10023",197,"new york",167,1.17964071856287,"1.0-1.19"
"22","10024",179,"new york",147,1.21768707482993,"1.2-1.29"
"23","10025",346,"new york",300,1.15333333333333,"1.0-1.19"
"24","10026",88,"new york",71,1.23943661971831,"1.2-1.29"
"25","10027",195,"new york",147,1.3265306122449,"1.3-1.39"
"26","10028",213,"new york",169,1.2603550295858,"1.2-1.29"
"27","10029",207,"new york",172,1.20348837209302,"1.2-1.29"
"28","10030",40,"new york",36,1.11111111111111,"1.0-1.19"
"29","10031",112,"new york",104,1.07692307692308,"1.0-1.19"
"30","10032",119,"new york",100,1.19,"1.0-1.19"
"31","10033",114,"new york",90,1.26666666666667,"1.2-1.29"
"32","10034",87,"new york",74,1.17567567567568,"1.0-1.19"
"33","10035",90,"new york",73,1.23287671232877,"1.2-1.29"
"34","10036",636,"new york",512,1.2421875,"1.2-1.29"
"35","10037",34,"new york",31,1.09677419354839,"1.0-1.19"
"36","10038",197,"new york",160,1.23125,"1.2-1.29"
"37","10039",35,"new york",24,1.45833333333333,"1.4-1.49"
"38","10040",75,"new york",57,1.31578947368421,"1.3-1.39"
"39","10044",5,"new york",4,1.25,"1.2-1.29"
"40","10065",185,"new york",153,1.20915032679739,"1.2-1.29"
"41","10069",4,"new york",3,1.33333333333333,"1.3-1.39"
"42","10075",97,"new york",79,1.22784810126582,"1.2-1.29"
"43","10103",2,"new york",2,1,"< 1.0"
"44","10110",1,"new york",1,1,"< 1.0"
"45","10111",9,"new york",5,1.8,"> 1.6"
"46","10112",20,"new york",20,1,"< 1.0"
"47","10119",20,"new york",14,1.42857142857143,"1.4-1.49"
"48","10128",168,"new york",134,1.25373134328358,"1.2-1.29"
"49","10165",2,"new york",1,2,"> 1.6"
"50","10167",3,"new york",3,1,"< 1.0"
"51","10168",6,"new york",4,1.5,"1.4-1.49"
"52","10169",17,"new york",17,1,"< 1.0"
"53","10170",2,"new york",1,2,"> 1.6"
"54","10171",1,"new york",1,1,"< 1.0"
"55","10172",1,"new york",1,1,"< 1.0"
"56","10174",3,"new york",3,1,"< 1.0"
"57","10199",1,"new york",1,1,"< 1.0"
"58","10271",3,"new york",1,3,"> 1.6"
"59","10279",3,"new york",2,1.5,"1.4-1.49"
"60","10280",48,"new york",36,1.33333333333333,"1.3-1.39"
"61","10282",17,"new york",13,1.30769230769231,"1.3-1.39"
"62","10301",125,"richmond",91,1.37362637362637,"1.3-1.39"
"63","10302",64,"richmond",62,1.03225806451613,"1.0-1.19"
"64","10303",43,"richmond",29,1.48275862068966,"1.4-1.49"
"65","10304",43,"richmond",40,1.075,"1.0-1.19"
"66","10305",90,"richmond",77,1.16883116883117,"1.0-1.19"
"67","10306",103,"richmond",79,1.30379746835443,"1.3-1.39"
"68","10307",33,"richmond",24,1.375,"1.3-1.39"
"69","10308",58,"richmond",40,1.45,"1.4-1.49"
"70","10309",89,"richmond",63,1.41269841269841,"1.4-1.49"
"71","10310",47,"richmond",48,0.979166666666667,"< 1.0"
"72","10311",2,"richmond",2,1,"< 1.0"
"73","10312",107,"richmond",68,1.57352941176471,"1.5-1.59"
"74","10314",202,"richmond",152,1.32894736842105,"1.3-1.39"
"75","10451",154,"bronx",147,1.04761904761905,"1.0-1.19"
"76","10452",84,"bronx",81,1.03703703703704,"1.0-1.19"
"77","10453",79,"bronx",76,1.03947368421053,"1.0-1.19"
"78","10454",53,"bronx",58,0.913793103448276,"< 1.0"
"79","10455",96,"bronx",87,1.10344827586207,"1.0-1.19"
"80","10456",71,"bronx",71,1,"< 1.0"
"81","10457",80,"bronx",72,1.11111111111111,"1.0-1.19"
"82","10458",161,"bronx",153,1.05228758169935,"1.0-1.19"
"83","10459",64,"bronx",67,0.955223880597015,"< 1.0"
"84","10460",60,"bronx",61,0.983606557377049,"< 1.0"
"85","10461",160,"bronx",127,1.25984251968504,"1.2-1.29"
"86","10462",148,"bronx",134,1.1044776119403,"1.0-1.19"
"87","10463",121,"bronx",108,1.12037037037037,"1.0-1.19"
