"","BORO","freq","orival","region","value"
"1","bronx",1594,0.835867855270058,36005,"0.8-0.99"
"2","kings",4150,0.835178104246327,36047,"0.8-0.99"
"3","new york",5901,0.706368206847019,36061,"0.6-0.79"
"4","queens",3641,0.744428542220405,36081,"0.6-0.79"
"5","richmond",364,0.549019607843137,36085,"< 0.6"
