"","region","freq","BORO","REST","orival","value"
"1","10001",513,"new york",403,1.27295285359801,"1.2-1.29"
"2","10002",442,"new york",357,1.23809523809524,"1.2-1.29"
"3","10003",673,"new york",542,1.24169741697417,"1.2-1.29"
"4","10004",122,"new york",124,0.983870967741935,"< 1.0"
"5","10005",64,"new york",49,1.30612244897959,"1.3-1.39"
"6","10006",47,"new york",39,1.20512820512821,"1.2-1.29"
"7","10007",112,"new york",98,1.14285714285714,"1.0-1.19"
"8","10009",299,"new york",243,1.23045267489712,"1.2-1.29"
"9","10010",249,"new york",200,1.245,"1.2-1.29"
"10","10011",456,"new york",389,1.17223650385604,"1.0-1.19"
"11","10012",415,"new york",340,1.22058823529412,"1.2-1.29"
"12","10013",535,"new york",410,1.30487804878049,"1.3-1.39"
"13","10014",396,"new york",350,1.13142857142857,"1.0-1.19"
"14","10016",365,"new york",326,1.11963190184049,"1.0-1.19"
"15","10017",381,"new york",322,1.1832298136646,"1.0-1.19"
"16","10018",298,"new york",244,1.22131147540984,"1.2-1.29"
"17","10019",767,"new york",597,1.28475711892797,"1.2-1.29"
"18","10020",48,"new york",41,1.17073170731707,"1.0-1.19"
"19","10021",158,"new york",126,1.25396825396825,"1.2-1.29"
"20","10022",509,"new york",397,1.28211586901763,"1.2-1.29"
"21","10023",209,"new york",157,1.3312101910828,"1.3-1.39"
"22","10024",179,"new york",158,1.13291139240506,"1.0-1.19"
"23","10025",275,"new york",225,1.22222222222222,"1.2-1.29"
"24","10026",76,"new york",68,1.11764705882353,"1.0-1.19"
"25","10027",167,"new york",134,1.24626865671642,"1.2-1.29"
"26","10028",191,"new york",162,1.17901234567901,"1.0-1.19"
"27","10029",165,"new york",154,1.07142857142857,"1.0-1.19"
"28","10030",30,"new york",31,0.967741935483871,"< 1.0"
"29","10031",103,"new york",97,1.06185567010309,"1.0-1.19"
"30","10032",132,"new york",100,1.32,"1.3-1.39"
"31","10033",113,"new york",90,1.25555555555556,"1.2-1.29"
"32","10034",106,"new york",86,1.23255813953488,"1.2-1.29"
"33","10035",69,"new york",57,1.21052631578947,"1.2-1.29"
